T.scale,Repro,Metric,Year1,Year2,Total.PPT,Total.PPT.Std.Err,Total.PPT.P,Mean.Temp,Mean.Temp.Std.Err,Mean.Temp.P,Nest.Topo,Nest.Topo.Std.Err,Nest.Topo.P,Est,Std.Err,P.base,P.fdr
SSF_min,fledge,cc.60,0.16084840308005108,-0.05829400042811073,-0.15548754064338316,0.26210810160428605,0.5530345100655446,0.14192318013655114,0.23455317990766536,0.5451265731433655,-0.03915423262209496,0.2254841483805086,0.8621443330033345,-0.20977457780638795,0.26395610097308325,0.42676893381263686,0.5857288513416448
SSF_min,fledge,cc.60.sq,0.24413740487726895,-0.08064799711185813,-0.16441514996237383,0.2558213394021811,0.5204218884394196,0.06582657121162964,0.21334835365820043,0.75767121796835,0.02043439463288496,0.2120593634854744,0.9232333324681639,-0.0667844599888349,0.20940026859236807,0.7497780289816696,0.7497780289816696
SSF_min,fledge,ch.60,0.17579761001696712,-0.057263709888713266,-0.13537085334215448,0.26154119183171193,0.6047450331061486,0.05958929171451268,0.21446055997955904,0.7811224059725496,-0.03532502234230657,0.22871108842506685,0.8772528820865222,-0.1515736645747844,0.23969770795953416,0.5271559662074803,0.5857288513416448
SSF_min,fledge,ch.60,0.23542181573500015,-0.08893513463243109,-0.184586843918353,0.2597710742856746,0.4773476090847927,0.04282988043777992,0.21749113779078214,0.8438846531149871,0.036654083800567054,0.2039915655472981,0.8574004113810937,0.15306967094015106,0.2184088032878489,0.48340274280582674,0.5857288513416448
SSF_min,fledge,lfd.300,0.2138927675063498,-0.16319586515530748,-0.3221728216095489,0.2752107845840829,0.2417434114830909,0.03484723420568934,0.21597581753626924,0.8718194366369915,-0.01548038347343252,0.21828404973585175,0.9434625973631132,0.4188935529416084,0.25865075296129963,0.10533252986737383,0.4740817067648819
SSF_min,fledge,s10z.60,0.12940201683512506,-0.09552752776372377,-0.13799367199957702,0.2606770333591837,0.5965512771540351,0.008715711215422136,0.2232706707902053,0.9688612677234436,-0.10468443235954558,0.23483448820803218,0.6557564340346689,-0.35908868188899407,0.24468460630968422,0.14222451202946457,0.4740817067648819
SSF_min,fledge,sci.60,0.30395387379290445,-0.13195134606758152,-0.228667642529637,0.28083840119634695,0.41551199667345995,0.044428137546126956,0.2120500431290932,0.834044486674636,0.0021925484478477475,0.21260261323689325,0.9917716460800132,0.18656143794693558,0.2325022526094238,0.422317557906336,0.5857288513416448
SSF_min,fledge,sdq.30,0.14103060335852485,-0.07143772564490102,-0.05768901756882809,0.28272060079130806,0.8383147609327432,0.10855762080230102,0.20967619429455414,0.6046401252536465,0.061051223201437646,0.21656547083877595,0.7780151724032767,0.2830504812304795,0.2592760711487618,0.27496702975854015,0.5857288513416448
SSF_min,fledge,sf.60,0.29979364188908353,-0.12426514856951901,-0.16928808532222758,0.2580890690448068,0.5118698570056295,0.003932343812654748,0.23066683615379105,0.9863985456273243,-0.004345416018857614,0.21035962387850948,0.9835192052380717,-0.16942567348486634,0.20766298717659207,0.41457539508244734,0.5857288513416448
SSF_min,fledge,sq.30,0.13397573420223954,-0.11432992893839743,-0.10529803462889724,0.27111658250864484,0.697729994754916,0.1762693756392471,0.21631001904027058,0.4151339433340327,0.06901408539879156,0.2153387737605189,0.7485963402877481,0.40920449845607354,0.2682407869029998,0.1271314807386945,0.4740817067648819
